REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Year,Value
ZAF,South Africa,ITU_DH_POP_COV_4G,"Population coverage, at least 4G",2001,5.0
ZAF,South Africa,ITU_DH_POP_COV_5G,"Population coverage, at least 5G",2001,0.96
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2001,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2001,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2001,48.19
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2001,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2001,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2001,46.57
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2001,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2001,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2001,69.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2001,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2001,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2001,42.36
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2001,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2001,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2001,29.78
ZAF,South Africa,ITU_DH_TRAF_FIX_BB,Fixed-broadband internet traffic,2001,0.33
ZAF,South Africa,ITU_DH_TRAF_MOB_BB,Mobile-broadband internet traffic within the country,2001,0.0389774
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2002,29.2596
ZAF,South Africa,ITU_DH_COMP_FIB,Competition in Fiber (ITU),2002,2.0
ZAF,South Africa,ITU_DH_COMP_INT_GTW,Competition in International Gateways (ITU),2002,1.0
ZAF,South Africa,ITU_DH_COMP_INT_SER,Competition in Internet Services (ITU),2002,2.0
ZAF,South Africa,ITU_DH_COMP_MOB_BB,Competition in Mobile Broadband (ITU),2002,2.0
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2002,0.00555817
ZAF,South Africa,ITU_DH_FIX_SUB_PER_100,Fixed-telephone subscriptions per 100 inhabitants (ITU),2002,10.2396
ZAF,South Africa,ITU_DH_FIX_TEL_OR_MOB,Percentage of households with fixed-line telephone or mobile (ITU),2002,17.9255
ZAF,South Africa,ITU_DH_HH_COMP,Percentage of households with a computer (ITU),2002,9.90909
ZAF,South Africa,ITU_DH_HH_INT,Percentage of households with internet access at home (ITU),2002,1.92375
ZAF,South Africa,ITU_DH_HH_RAD,Percentage of households with a radio (ITU),2002,79.0848
ZAF,South Africa,ITU_DH_HH_TV,Percentage of households with TV (ITU),2002,60.5034
ZAF,South Africa,ITU_DH_INT_BAND_PER_CAP,International bandwidth usage - per capita,2002,11.7557
ZAF,South Africa,ITU_DH_INT_BAND_PER_INT_USR,International bandwidth usage - per internet user,2002,175.188
ZAF,South Africa,ITU_DH_INT_CONN_BAND,International bandwidth usage,2002,564.5
ZAF,South Africa,ITU_DH_INT_CONN_BAND_CAP,Lit/equipped international bandwidth capacity,2002,934578.0
ZAF,South Africa,ITU_DH_INT_USER_PT,Percentage of individuals using the internet (ITU),2002,6.71032
ZAF,South Africa,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),2002,28.5343
ZAF,South Africa,ITU_DH_POP_COV_2G,"Population coverage, at least 2G",2002,95.1
ZAF,South Africa,ITU_DH_POP_COV_3G,"Population coverage, at least 3G",2002,84.25
ZAF,South Africa,ITU_DH_POP_COV_4G,"Population coverage, at least 4G",2002,5.0
ZAF,South Africa,ITU_DH_POP_COV_5G,"Population coverage, at least 5G",2002,0.96
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2002,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2002,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2002,48.19
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2002,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2002,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2002,46.57
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2002,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2002,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2002,69.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2002,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2002,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2002,42.36
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2002,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2002,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2002,29.78
ZAF,South Africa,ITU_DH_TRAF_FIX_BB,Fixed-broadband internet traffic,2002,0.33
ZAF,South Africa,ITU_DH_TRAF_MOB_BB,Mobile-broadband internet traffic within the country,2002,0.0389774
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2003,29.2596
ZAF,South Africa,ITU_DH_COMP_FIB,Competition in Fiber (ITU),2003,2.0
ZAF,South Africa,ITU_DH_COMP_INT_GTW,Competition in International Gateways (ITU),2003,1.0
ZAF,South Africa,ITU_DH_COMP_INT_SER,Competition in Internet Services (ITU),2003,2.0
ZAF,South Africa,ITU_DH_COMP_MOB_BB,Competition in Mobile Broadband (ITU),2003,2.0
